unix_hour,retweets
1341100800,13
1341104400,17
1341108000,27
1341111600,24
1341115200,20
1341118800,29
1341122400,21
1341126000,22
1341129600,21
1341133200,22
1341136800,29
1341140400,28
1341144000,37
1341147600,39
1341151200,47
1341154800,180
1341158400,193
1341162000,104
1341165600,306
1341169200,255
1341172800,348
1341176400,182
1341180000,85
1341183600,87
1341187200,62
1341190800,57
1341194400,68
1341198000,120
1341201600,123
1341205200,127
1341208800,143
1341212400,158
1341216000,129
1341219600,170
1341223200,197
1341226800,207
1341230400,415
1341234000,732
1341237600,573
1341241200,646
1341244800,752
1341248400,1116
1341252000,790
1341255600,653
1341259200,777
1341262800,472
1341266400,382
1341270000,379
1341273600,352
1341277200,410
1341280800,349
1341284400,267
1341288000,766
1341291600,983
1341295200,836
1341298800,659
1341302400,747
1341306000,715
1341309600,653
1341313200,688
1341316800,735
1341320400,1102
1341324000,927
1341327600,1130
1341331200,1004
1341334800,1223
1341338400,1271
1341342000,1116
1341345600,1161
1341349200,960
1341352800,719
1341356400,653
1341360000,408
1341363600,511
1341367200,709
1341370800,1198
1341374400,4125
1341378000,19060
1341381600,30600
1341385200,23683
1341388800,17010
1341392400,13310
1341396000,12257
1341399600,13024
1341403200,12279
1341406800,13419
1341410400,11824
1341414000,10752
1341417600,9161
1341421200,8910
1341424800,7405
1341428400,7328
1341432000,5771
1341435600,4353
1341439200,3492
1341442800,2742
1341446400,3523
1341450000,3178
1341453600,2420
1341457200,2200
1341460800,3076
1341464400,3257
1341468000,3326
1341471600,3011
1341475200,2558
1341478800,2309
1341482400,2256
1341486000,2740
1341489600,3011
1341493200,2928
1341496800,2793
1341500400,3082
1341504000,2621
1341507600,2691
1341511200,2835
1341514800,2333
1341518400,1735
1341522000,2151
1341525600,1284
1341529200,974
1341532800,776
1341536400,666
1341540000,714
1341543600,590
1341547200,752
1341550800,804
1341554400,758
1341558000,888
1341561600,729
1341565200,946
1341568800,829
1341572400,978
1341576000,999
1341579600,1404
1341583200,1412
1341586800,1121
1341590400,978
1341594000,716
1341597600,857
1341601200,632
1341604800,617
1341608400,497
1341612000,485
1341615600,383
1341619200,424
1341622800,265
1341626400,370
1341630000,312
1341633600,219
1341637200,451
1341640800,458
1341644400,451
1341648000,391
1341651600,460
1341655200,393
1341658800,470
1341662400,480
1341666000,486
1341669600,539
1341673200,503
1341676800,451
1341680400,392
1341684000,407
1341687600,390
1341691200,293
1341694800,135
1341698400,141
1341702000,85
